lake_ID,sampling_date,lake_name,latitude,longitude,province,ecozone,area,size_class,hi_index,hi_class,altitude,utc,shoreline_length,ecoprovince,watershed_area,area_agriculture,area_forestry,area_mines,area_natlandscapes,area_pasture,area_urban,area_water,fraction_agriculture,fraction_forestry,fraction_mines,fraction_natlandscapes,fraction_pasture,fraction_urban,fraction_water,max_depth,circularity,area_carbonitic,area_evaporites,area_potential_carbonates,fraction_carbonitic,fraction_evaporites,fraction_potential_carbonates,rbr_chla_mean_tube,rbr_chla_mean_bottom,do_percenttsaturation_bottom,do_concentration_bottom,do_percenttsaturation_tube,do_concentration_tube,rbr_salinity_tube,rbr_salinity_bottom,rbr_salinity_hypolimnion,rbr_conductivity_tube,rbr_conductivity_bottom,rbr_conductivity_hypolimnion,rbr_specific_conductance_tube,rbr_specific_conductance_bottom,rbr_specific_conductance_hypolimnion,rbr_sea_pressure_mean_tube,rbr_sea_pressure_mean_bottom,rbr_sound_velocity_mean_tube,rbr_sound_velocity_mean_bottom,rbr_temperature_mean_tube,rbr_temperature_mean_bottom,rbr_temperature_mean_watercolumn,rbr_temperature_mean_top0.5m,rbr_temperature_mean_top1m,rbr_temperature_mean_topmost,rbr_temperature_mean_epilimnion,rbr_temperature_mean_hypolimnion,stratification,doc,dic,tss,spm_mineral,spm_organic,ph_epilimnion,ph_hypolimnion,tp_tube,tp_bottom,tn_tube,tn_bottom,tntp_ratio,srp_epilimnion,srp_hypolimnion,colour,chloride,sulfate,calcium,potassium,magnesium,sodium,secchi_am_index,secchi_pm_optics,air_temperature_am_index,relative_humidity_am_index,atm_pressure_am_index,wind_speed_max_am_index,wind_speed_avg_am_index,air_temperature_pm_optics,relative_humidity_pm_optics,atm_pressure_pm_optics,wind_speed_max_pm_optics,wind_speed_avg_pm_optics,bruntvaisala_max,bruntvaisala_mean,centerbuoyancy,temperature_mean_7d,temperature_mean_30d,precipitation_total_7d,precipitation_total_30d,solar_radiation_net_7d,solar_radiation_net_30d,windspeed_mean_7d,windspeed_mean_30d,heating_degdays_mean_7d,heating_degdays_total_7d,cooling_degdays_mean_7d,cooling_degdays_total_7d,heating_degdays_mean_30d,heating_degdays_total_30d,cooling_degdays_mean_30d,cooling_degdays_total_30d,population,fraction_fire,area_fire,fraction_fire_6yrs,area_fire_6yrs,chla
04-582,8/6/2019,NA,68.335154,-133.680514,Northwest Territories,Taiga Plains,0.316949,small,0.03596,low,3,-7,3371.9,Amundsen Lowlands,26.54530432,0,0.080925476,0.048154984,22.86183481,0,0.765677737,2.788711318,0,0.00304858,0.001814068,0.861238377,0,0.028844188,0.105054788,5.5,0.350309,0,0,26.54530428,0,0,1,6.150086,6.511015,93.02187,9.685912,93.193192,9.704466,0.096838,0.096719,0.094238,0.157688,0.157512,0.183136,201.337752,201.094466,206.158065,0.419362,3.874354,1461.256805,1461.324459,13.649118,13.653175,13.7,13.6,13.6,13.6,13.649118,13.653175,mixed,16.0525,11.01,NA,NA,NA,8.43,8.47,83.24,54.87,0.273548365,0.330262365,3.286260992,17.06195065,40.06292181,66.65243246,26.2715,190.23,22.01790909,1.307142857,7.296363636,8.5565625,0.425,0.475,9.5,NA,1018.1,2.9,1.8,10.5,NA,1018.8,2.9,2.4,6.96E-06,0,2.908643845,13.61098342,14.91967752,0.122943451,0.404594053,5012049.671,6792798.261,3.302323234,2.751471083,4.355392601,30.48774821,0.002921549,0.020450846,3.262463184,97.87389552,0.159632297,4.788968913,13,0,0,0,0,4.602435289
04-583,8/2/2019,NA,67.442962,-134.511877,Northwest Territories,Taiga Plains,0.266181,small,0.01214,low,39,-7,2676.7,Great Bear Lowlands,36.20300757,0,0.018596435,0,21.96024355,0,0.260700607,13.96346698,0,5.14E-04,0,0.606586166,0,0.007201076,0.385699087,6.3,0.466859,0,0,36.20300764,0,0,1,3.371451,3.486732,92.291566,8.928113,94.222736,8.952627,0.045918,0.046037,0.046037,0.077664,0.077375,0.077375,90.346489,90.836458,90.836458,0.981371,4.351283,1474.983598,1473.68759,17.650959,17.243031,17.4,17.7,17.7,17.7,17.6,14.8,stratified,12.5125,7.41,NA,NA,NA,8.43,8.47,17.41,54.87,0.264763865,0.330262365,15.2075741,1.188483389,40.06292181,37.63703088,5.9615,32.87,12.19790909,0.637142857,3.309363636,1.6865625,2.55,3.1,11.6,NA,1011.7,3.6,3,15.8,NA,1011.4,4.5,3.5,0.009987606,0.001265666,4.667006923,16.20768636,16.72433654,0.052680687,0.398019118,6771840.32,6664663.454,2.11701579,1.894578354,1.493372163,10.45360514,0,0,1.835231942,55.05695826,0.577158813,17.3147644,0,0,0,0,0,2.339906311
04-609,7/30/2019,Heart Lake,60.836026,-116.656975,Northwest Territories,Taiga Plains,2.539551,medium,0.019891,low,249,-7,6496.9,Hay-Slave Lowlands,10.05255226,0,0,3.81E-04,7.283286522,0,0.147429591,2.621455521,0,0,3.79E-05,0.72452113,0,0.014665887,0.26077512,2.1,0.756068,2.323063574,0,7.729488682,0.231091917,0,0.768908083,2.507964,2.388947,100.286478,9.1916,100.349304,9.196503,0.113661,0.113688,0.094238,0.20268,0.20275,0.183136,235.165836,235.22,206.158065,0.650099,0.650099,1475.435593,1475.451312,17.767539,17.773289,17.8,17.8,17.8,17.8,17.767539,17.773289,mixed,27.27,31.105,NA,NA,NA,8.36,8.47,17.46,54.87,0.626484865,0.330262365,35.8811492,6.504688018,40.06292181,18.99506566,2.7915,0.22,35.04790909,1.097142857,9.090363636,4.5465625,1.75,2.0625,18.1,80.4,979.4,3.5,2.6,16.6,96.6,979.9,4.7,3.2,9.65E-05,7.17E-05,0.705633378,17.5867016,16.79998262,0.181179717,0.702857718,5362771.939,5769093.08,2.087235775,2.223846693,1.518363444,10.62854411,1.454295131,10.18006592,2.287323549,68.61970647,1.106659741,33.19979223,0,0,0,0,0,1.79339526
04-611,7/25/2019,NA,60.063822,-116.847789,Northwest Territories,Taiga Plains,0.417719,small,0.002783,low,286,-7,4614.2,Hay-Slave Lowlands,25.80581868,0,0.0025,0,24.91697896,0,0.06827854,0.818061177,0,9.69E-05,0,0.965556616,0,0.002645858,0.031700648,1,0.246546,0,0,25.80581861,0,0,1,5.93748,3.486732,96.226872,9.458937,148.345909,12.027138,0.255598,0.100001,0.094238,0.512612,0.183136,0.183136,527.135902,206.158065,206.158065,0.155454,2.58105,1493.054652,1468.905298,23.557474,23.566139,23.6,23.6,23.6,23.6,23.557474,23.566139,mixed,50.12,16.63,NA,NA,NA,9.44,8.47,58.93,54.87,0.677368865,0.330262365,11.49446572,11.33817849,40.06292181,76.02125771,9.8215,104.58,58.02790909,1.847142857,23.75236364,23.2465625,1.9,2.0625,25.7,71.2,972.5,5.7,3.5,23.6,76.1,972.6,4.6,4.1,1.34E-04,1.05E-04,2.614982174,21.58858788,17.24402593,0.01173461,0.539626802,6932890.281,5994849.598,1.873312273,2.003783686,0.089923096,0.62946167,3.637560745,25.46292521,1.992073237,59.76219711,1.153608458,34.60825373,0,0,0,0,0,7.240076978
04-612,7/27/2019,NA,60.721344,-114.996196,Northwest Territories,Taiga Plains,0.696052,medium,0.052612,moderate,215,-7,3913,Hay-Slave Lowlands,3.449867523,0,0,0.031509648,2.233085253,0,0.092502203,1.092770419,0,0,0.009133582,0.647295943,0,0.026813262,0.316757212,6.5,0.571254,3.449867518,0,0,1,0,0,1.561236,2.133763,102.500605,8.857501,103.069125,8.874219,0.1726,0.17281,0.094238,0.330856,0.330029,0.183136,357.194021,357.613019,206.158065,0.956702,3.174388,1486.013605,1485.524456,21.139437,20.963469,21.1,21.2,21.2,21.2,21.139437,20.963469,mixed,21.445,35.38,NA,NA,NA,8.8,8.47,11.91,54.87,0.639349865,0.330262365,53.68176868,9.473832162,40.06292181,19.14617532,7.2415,36.61,48.74790909,1.167142857,16.38236364,4.4265625,2.45,2.75,13.8,97.8,984.9,7.2,4.8,13.5,80,985.5,7.4,4.7,3.62E-04,1.54E-04,2.336199096,21.89952712,16.87646001,0.045697965,0.628163829,6187263.141,5916302.52,1.973635152,2.196214091,0.052434431,0.367041016,4.070422073,28.49295451,2.449391352,73.48174057,1.275502786,38.26508357,0,0,0,0,0,2.591609067
04-613,7/28/2019,NA,60.813148,-114.589631,Northwest Territories,Taiga Plains,0.05081,small,0,low,217,-7,838.6,Hay-Slave Lowlands,0.820128719,0,0,0,0.755673774,0,0,0.064454946,0,0,0,0.921408745,0,0,0.078591255,1.5,0.907849,0.820128728,0,0,1,0,0,2.837409,3.486732,96.226872,9.458937,108.057591,9.650217,0.155922,0.100001,0.094238,0.28912,0.183136,0.183136,322.736496,206.158065,206.158065,0.213993,2.58105,1481.140064,1468.905298,19.54656,15.9368965,19.5,19.5,19.5,19.5,19.54656,14.8990555,mixed,28.345,35.755,NA,NA,NA,8.54,8.47,8.78,54.87,0.421339865,0.330262365,47.9885951,10.30243053,40.06292181,58.90257131,9.7215,17.73,41.14790909,1.147142857,17.22236364,4.4665625,1.9,2.0625,16.5,70.3,989.6,1.8,0,22.3,44.9,988.8,2.2,0.3,1.34E-04,1.05E-04,2.614982174,19.95164097,16.1637803,0.054353398,0.604363036,5889921.271,5841490.684,2.132954711,2.361373969,0.794650414,5.562552897,3.356076195,23.49253337,2.924719866,87.74159597,1.085123223,32.5536967,0,0,0,0,0,0.6905484
04-614,7/29/2019,NA,60.53671,-114.568217,Northwest Territories,Taiga Plains,0.196621,small,0,low,260,-7,1640.2,Hay-Slave Lowlands,0.32555471,0,0,0,0.121428455,0,0,0.204126255,0,0,0,0.372989397,0,0,0.627010603,1.8,0.918449,0.32555471,0,0,1,0,0,6.299643,3.486732,96.226872,9.458937,95.985016,8.442497,0.090418,0.100001,0.094238,0.166733,0.183136,0.183136,185.729243,206.158065,206.158065,0.60928,2.58105,1481.373164,1468.905298,19.644961,15.9368965,19.6,19.7,19.7,19.7,19.644961,14.8990555,mixed,41.52,23.205,NA,NA,NA,8.17,8.47,32.56,54.87,0.548678865,0.330262365,16.85131649,18.10506513,40.06292181,60.25640901,1.1615,0.02,28.73790909,0.637142857,8.632363636,1.5965625,0.85,0.85,18.2,80.5,976.5,3.4,2.9,19.7,84.7,976.3,4.1,2.8,1.51E-04,1.37E-04,0.848860448,18.78631127,16.14850252,0.060395667,0.651829754,5671123.357,5751005.833,1.722379748,2.080146634,1.47583996,10.33087972,2.633284215,18.4329895,2.906845101,87.20535304,1.071582972,32.14748917,0,0,0,0,0,4.225314311
04-615,8/1/2019,Pine Lake,59.534902,-112.216745,Alberta,Taiga Plains,2.961035,medium,0.022973,low,266,-7,14215.6,Central Boreal Plains,23.41040267,0,0.002859967,0,19.64262972,0,0.460469518,3.304443461,0,1.22E-04,0,0.839055611,0,0.01966944,0.141152782,24,0.184129,0,23.41040273,0,0,1,0,1.116829,1.12086,-0.344084,-0.042903,106.352253,9.426594,0.341442,0.365396,0.365396,0.626698,0.46057,0.46057,696.93122,751.485903,751.485903,0.815296,19.207419,1481.91381,1425.738257,19.723814,4.731908,11.1,19.7,19.7,19.7,19.7,5.4,stratified,9.47,109.28,NA,NA,NA,8.91,8.47,11.45,54.87,0.292585365,0.330262365,25.55330699,6.849937337,40.06292181,1.284749124,5.0115,14.37,16.36790909,9.027142857,89.68236364,12.9965625,5.45,5.45,17.4,90.5,986.8,2.4,1.5,19,91.5,986.6,3,2.3,0.005129724,8.30E-04,7.515538826,15.76918509,16.99505458,0.261690227,0.546413597,4833372.714,5885109.82,1.708590959,1.982174495,2.452239409,17.16567586,0.581651088,4.071557617,2.380288705,71.40866114,1.277356093,38.32068278,0,0,0,0.012199637,0.002855984,1.089130267
04-616,8/2/2019,NA,59.944209,-111.853586,Alberta,Taiga Plains,0.412268,small,0.011344,low,208,-7,3523.9,Central Boreal Plains,6.910827837,0,0,0,6.338495631,0,0.07272809,0.499604116,0,0,0,0.917183264,0,0.010523788,0.072292948,1.2,0.417198,0,6.910827841,0,0,1,0,7.495526,7.486842,86.445459,7.746005,86.857204,7.780494,0.187604,0.187593,0.094238,0.345266,0.345184,0.183136,387.759114,387.736655,206.158065,0.348176,0.481755,1480.291568,1480.266036,19.262495,19.254102,19.2,19.3,19.2,19.3,19.262495,19.254102,mixed,35.045,49.505,NA,NA,NA,8.04,8.47,31.6,54.87,0.605294865,0.330262365,19.15490079,21.07420928,40.06292181,20.28030069,7.4415,0.02,34.69790909,1.167142857,28.47236364,7.9965625,1.9,2.0625,18.7,100,986.9,2.6,2,20.3,100,986.1,3,1.6,2.74E-04,1.86E-04,0.644937846,15.64375639,17.44385694,0.158777819,0.449017139,4586917.379,5759197.67,1.673685529,1.904104216,2.23996582,15.67976074,0,0,2.013950873,60.4185262,1.353512294,40.60536881,0,0,0,0,0,4.153056089
04-617,8/3/2019,NA,60.596644,-116.262865,Northwest Territories,Taiga Plains,0.327378,small,0,low,274,-7,2244.2,Hay-Slave Lowlands,1.359861765,0,0,0,1.00993542,0,0,0.349926345,0,0,0,0.742675062,0,0,0.257324938,1,0.816853,1.341001558,0,0.018860195,0.9861308,0,0.0138692,5.210647851,3.486732,96.226872,9.458937,107.492812,9.693481,0.133407692,0.100001,0.094238,0.242487564,0.183136,0.183136,276.1830725,206.158065,206.158065,0.160464,2.58105,1478.172436,1468.905298,18.61233931,15.9368965,18.6,18.6,18.6,18.6,18.61233931,14.8990555,mixed,32.17,31.23,NA,NA,NA,8.55,8.47,25.22,54.87,0.438800865,0.330262365,16.95252554,17.69076595,40.06292181,81.73220423,2.1215,0.15,43.49790909,0.777142857,10.44236364,6.1665625,1.9,2.0625,18.7,100,980.6,1.7,1.3,19.9,89.2,980.1,4,2,1.34E-04,1.05E-04,2.614982174,16.06158564,17.53481017,0.078932621,0.648168209,5581954.796,6066860.118,1.710232647,1.856020931,2.049536133,14.34675293,0,0,1.688671875,50.66015625,1.180159632,35.40478897,0,0,0,0,0,2.582709689
